@  {'test_corpus_file': 'information_structure_corpus.txt', 'test_corpus_folder': 'study-8-information-structure', 'study_folder': 'study-8-information-structure/', 'author': 'PauliBrattico', 'year': 2021, 'date': 'February', 'study_id': 1, 'only_first_solution': False, 'logging': True, 'ignore_ungrammatical_sentences': False, 'datatake_resources': True, 'datatake_resource_sequence': False, 'datatake_timings': False, 'datatake_images': False, 'image_parameter_stop_after_each_image': False, 'image_parameter_show_words': True, 'image_parameter_nolabels': False, 'image_parameter_spellout': False, 'image_parameter_case': False, 'image_parameter_show_sentences': False, 'image_parameter_show_glosses': True, 'extra_ranking': True, 'filter': True, 'lexical_anticipation': True, 'closure': 'Bottom-up', 'working_memory': True, 'positive_spec_selection': 100, 'negative_spec_selection': -100, 'break_head_comp_relations': -100, 'negative_tail_test': -100, 'positive_head_comp_selection': 100, 'negative_head_comp_selection': -100, 'negative_semantics_match': -100, 'lf_legibility_condition': -100, 'negative_adverbial_test': -100, 'positive_adverbial_test': 100}
@  2021-03-17 10:34:16.055974
@  Test sentences from language data working directory\study-8-information-structure\information_structure_corpus.txt.
@  Logs into language data working directory\study-8-information-structure\information_structure_corpus_log.txt.
@  Lexicon from language data working directory\lexicon.txt.
@  Redundancy rules from language data working directory\redundancy_rules.txt.
@  Universal morphemes from language data working directory\ug_morphemes.txt.
@ 
@ 
Number,Sentence,Study_ID,Total Time,Garden Paths,Memory Reactivation,Steps,Merge,Move Head,Move Phrase,A-Move Phrase,A-bar Move Phrase,Move Adjunct,Agree,Phi,Transfer,Item streamed into syntax,Feature Processing,Extraposition,Inflection,Failed Transfer,LF recovery,LF test,Filter solution,Rank solution,Lexical retrieval,Morphological decomposition,Mean time per word,Asymmetric Merge,Sink,External Tail Test,Execution time (ms)	
432,Jukka sanoi etta Pekka#[pA] Merjaa ihailee ,1,,2765,0,0,23,11,25,8,0,1,7,10,14,36,12,0,2,20,22,4,52,14,7,32,6,460,162,14,226,109
433,Jukka sanoi etta Merjaa#[pA] ihailee Pekka ,1,,2875,0,0,25,11,37,17,0,9,8,20,24,32,12,0,0,20,13,4,50,11,7,32,6,479,257,16,258,140
434,Jukka sanoi etta Helsingissa#[pA] nukkui Pekka ,1,,2845,0,0,25,11,33,17,0,9,8,21,25,30,12,0,0,17,12,4,46,11,6,29,7,474,214,16,219,140
435,Jukka kysyi etta Pekka#[kO] Merjaa ihailee ,1,,2815,0,0,15,12,32,7,0,1,6,9,14,34,13,0,2,20,24,5,49,16,6,33,6,469,109,9,140,125
436,Jukka kysyi etta Merjaa#[kO] ihailee Pekka ,1,,2935,0,0,17,12,46,16,0,9,7,19,24,30,13,0,0,20,15,5,47,13,6,33,6,489,188,11,178,156
437,Jukka kysyi etta Helsingissa#[kO] nukkui Pekka ,1,,2905,0,0,17,12,42,16,0,9,7,20,25,28,13,0,0,17,14,5,43,13,5,30,7,484,160,11,151,171
438,Jukka sanoi etta Pekka#[foc] Merjaa ihailee ,1,,2775,0,0,23,11,25,8,0,1,7,10,14,36,12,0,2,20,22,4,52,14,7,32,6,462,162,14,226,125
439,Jukka sanoi etta PEKKA Merjaa ihailee ,1,,2780,0,0,23,11,25,8,0,1,7,10,14,36,12,0,2,21,22,4,52,14,7,33,5,463,162,14,226,109
440,Jukka sanoi etta Merjaa#[foc] ihailee Pekka ,1,,2885,0,0,25,11,37,17,0,9,8,20,24,32,12,0,0,20,13,4,50,11,7,32,6,480,257,16,258,156
441,Jukka sanoi etta Helsingissa#[foc] nukkui Pekka ,1,,2855,0,0,25,11,33,17,0,9,8,21,25,30,12,0,0,17,12,4,46,11,6,29,7,475,214,16,219,171
442,Jukka sanoi etta PEKKA#[hAn] Merjaa ihailee ,1,,2905,0,0,23,11,25,8,0,1,7,10,14,36,12,0,2,22,22,4,52,14,7,34,6,484,162,14,226,125
443,Jukka sanoi etta PEKKA#[pA] Merjaa ihailee ,1,,2895,0,0,23,11,25,8,0,1,7,10,14,36,12,0,2,22,22,4,52,14,7,34,6,482,162,14,226,125
444,Jukka kysyi etta PEKKA#[kO] Merjaa ihailee ,1,,2945,0,0,15,12,32,7,0,1,6,9,14,34,13,0,2,22,24,5,49,16,6,35,6,490,109,9,140,125
445,Jukka sanoi etta Pekka#[pA]#[hAn] Merjaa ihailee ,1,,2885,0,0,23,11,25,8,0,1,7,10,14,36,12,0,2,21,22,4,52,14,7,33,6,480,162,14,226,109
446,Jukka kysyi etta Pekka#[kO]#[hAn] Merjaa ihailee ,1,,2935,0,0,15,12,32,7,0,1,6,9,14,34,13,0,2,21,24,5,49,16,6,34,6,489,109,9,140,109
447,Jukka kysyi etta kuka#[hAn] Merjaa ihailee ,1,,2835,0,0,15,12,32,7,0,1,6,9,14,34,13,0,2,21,24,5,49,16,6,34,6,472,109,9,140,125
448,Jukka kysyi etta kuka#[pA] Merjaa ihailee ,1,,2825,0,0,15,12,32,7,0,1,6,9,14,34,13,0,2,21,24,5,49,16,6,34,6,470,109,9,140,140
449,Jukka kysyi etta kuka#[kO] Merjaa ihailee ,1,,2825,0,0,15,12,32,7,0,1,6,9,14,34,13,0,2,21,24,5,49,16,6,34,6,470,109,9,140,125
450,Jukka sanoi etta Merjaa#[foc]#[hAn] ihailee Pekka ,1,,3015,0,0,25,11,37,17,0,9,8,20,24,32,12,0,0,21,13,4,50,11,7,33,6,502,257,16,258,156
451,Jukka sanoi etta Merjaa#[foc]#[pA] ihailee Pekka ,1,,3005,0,0,25,11,37,17,0,9,8,20,24,32,12,0,0,21,13,4,50,11,7,33,6,500,257,16,258,140
452,Jukka kysyi etta Merjaa#[foc]#[kO] ihailee Pekka ,1,,3065,0,0,17,12,46,16,0,9,7,19,24,30,13,0,0,21,15,5,47,13,6,34,6,510,188,11,178,156
453,Jukka sanoi etta Merjaa#[foc]#[pA]#[hAn] ihailee Pekka ,1,,3125,0,0,25,11,37,17,0,9,8,20,24,32,12,0,0,22,13,4,50,11,7,34,6,520,257,16,258,156
454,Jukka kysyi etta Merjaa#[foc]#[kO]#[hAn] ihailee Pekka ,1,,3185,0,0,17,12,46,16,0,9,7,19,24,30,13,0,0,22,15,5,47,13,6,35,6,530,188,11,178,156
455,Jukka kysyi etta keta#[hAn] ihailee Pekka ,1,,2705,0,0,17,12,46,16,0,9,7,19,24,30,13,0,0,16,15,5,47,13,6,29,6,450,188,11,178,156
456,Jukka kysyi etta keta#[pA] ihailee Pekka ,1,,2695,0,0,17,12,46,16,0,9,7,19,24,30,13,0,0,16,15,5,47,13,6,29,6,449,188,11,178,156
457,Jukka kysyi etta keta#[kO] ihailee Pekka ,1,,2695,0,0,17,12,46,16,0,9,7,19,24,30,13,0,0,16,15,5,47,13,6,29,6,449,188,11,178,156
458,Jukka sanoi etta Helsingissa#[foc]#[hAn] nukkui Pekka ,1,,2985,0,0,25,11,33,17,0,9,8,21,25,30,12,0,0,18,12,4,46,11,6,30,7,497,214,16,219,140
459,Jukka sanoi etta Helsingissa#[foc]#[pA] nukkui Pekka ,1,,2975,0,0,25,11,33,17,0,9,8,21,25,30,12,0,0,18,12,4,46,11,6,30,7,495,214,16,219,171
460,Jukka kysyi etta Helsingissa#[foc]#[kO] nukkui Pekka ,1,,3035,0,0,17,12,42,16,0,9,7,20,25,28,13,0,0,18,14,5,43,13,5,31,7,505,160,11,151,171
461,Jukka kysyi etta Helsingissa#[kO]#[hAn] nukkui Pekka ,1,,3025,0,0,17,12,42,16,0,9,7,20,25,28,13,0,0,18,14,5,43,13,5,31,7,504,160,11,151,156
462,Jukka sanoi etta Helsingissa#[pA]#[hAn] nukkui Pekka ,1,,2965,0,0,25,11,33,17,0,9,8,21,25,30,12,0,0,18,12,4,46,11,6,30,7,494,214,16,219,171
463,Jukka kysyi etta PEKKA#[kO]#[hAn] Merjaa ihailee ,1,,3065,0,0,15,12,32,7,0,1,6,9,14,34,13,0,2,23,24,5,49,16,6,36,6,510,109,9,140,125
464,Jukka sanoi etta PEKKA#[pA]#[hAn] Merjaa ihailee ,1,,3015,0,0,23,11,25,8,0,1,7,10,14,36,12,0,2,23,22,4,52,14,7,35,6,502,162,14,226,125
465,Jukka kysyi etta kuka#[kO]#[hAn] Merjaa ihailee ,1,,2945,0,0,15,12,32,7,0,1,6,9,14,34,13,0,2,22,24,5,49,16,6,35,6,490,109,9,140,125
466,Jukka kysyi etta Merjaa#[foc]#[kO]#[hAn] ihailee Pekka ,1,,3185,0,0,17,12,46,16,0,9,7,19,24,30,13,0,0,22,15,5,47,13,6,35,6,530,188,11,178,156
467,Jukka sanoi etta Merjaa#[foc]#[pA]#[hAn] ihailee Pekka ,1,,3125,0,0,25,11,37,17,0,9,8,20,24,32,12,0,0,22,13,4,50,11,7,34,6,520,257,16,258,156
468,Jukka kysyi etta keta#[foc]#[kO]#[hAn] ihailee Pekka ,1,,2945,0,0,17,12,46,16,0,9,7,19,24,30,13,0,0,18,15,5,47,13,6,31,6,490,188,11,178,156
469,Jukka sanoi etta Helsingissa#[foc]#[pA]#[hAn] nukkui Pekka ,1,,3095,0,0,25,11,33,17,0,9,8,21,25,30,12,0,0,19,12,4,46,11,6,31,7,515,214,16,219,156
470,Jukka kysyi etta Helsingissa#[foc]#[kO]#[hAn] nukkui Pekka ,1,,3155,0,0,17,12,42,16,0,9,7,20,25,28,13,0,0,19,14,5,43,13,5,32,7,525,160,11,151,171
471,Jukka sanoi etta se talo#[hAn] Merjaa ihailee ,1,,2905,0,0,39,11,22,10,0,1,9,12,16,46,12,0,2,19,32,4,66,16,8,31,6,415,271,26,429,140
472,Jukka sanoi etta se talo#[pA] Merjaa ihailee ,1,,2895,0,0,39,11,22,10,0,1,9,12,16,46,12,0,2,19,32,4,66,16,8,31,6,413,271,26,429,125
473,Jukka kysyi etta se talo#[kO] Merjaa ihailee ,1,,2930,0,0,23,12,31,8,0,1,7,11,16,43,13,0,2,19,33,5,62,18,7,32,6,418,186,15,267,140
474,Jukka sanoi etta se talo#[foc] Merjaa ihailee ,1,,2905,0,0,39,11,22,10,0,1,9,12,16,46,12,0,2,19,32,4,66,16,8,31,6,415,271,26,429,125
475,Jukka kysyi etta se talo#[kO]#[hAn] Merjaa ihailee ,1,,3050,0,0,23,12,31,8,0,1,7,11,16,43,13,0,2,20,33,5,62,18,7,33,6,435,186,15,267,140
476,Jukka sanoi etta se talo#[pA]#[hAn] Merjaa ihailee ,1,,3015,0,0,39,11,22,10,0,1,9,12,16,46,12,0,2,20,32,4,66,16,8,32,6,430,271,26,429,140
477,Jukka kysyi etta se talo#[foc]#[kO]#[hAn] Merjaa ihailee ,1,,3180,0,0,23,12,31,8,0,1,7,11,16,43,13,0,2,21,33,5,62,18,7,34,6,454,186,15,267,156
478,Jukka sanoi etta se talo#[foc]#[pA]#[hAn] Merjaa ihailee ,1,,3145,0,0,39,11,22,10,0,1,9,12,16,46,12,0,2,21,32,4,66,16,8,33,6,449,271,26,429,140
479,Jukka sanoi etta sita taloa#[hAn] ihailee Pekka ,1,,4245,1,2,35,13,38,21,0,10,11,25,29,48,13,0,0,19,22,4,71,14,9,32,7,606,388,22,558,171
480,Jukka sanoi etta sita taloa#[pA] ihailee Pekka ,1,,4235,1,2,35,13,38,21,0,10,11,25,29,48,13,0,0,19,22,4,71,14,9,32,7,605,388,22,558,218
481,Jukka kysyi etta sita taloa#[kO] ihailee Pekka ,1,,4460,1,2,22,14,50,24,0,10,14,24,29,54,14,0,2,19,28,5,76,16,8,33,7,637,284,14,381,203
482,Jukka sanoi etta sita taloa#[foc] ihailee Pekka ,1,,4245,1,2,35,13,38,21,0,10,11,25,29,48,13,0,0,19,22,4,71,14,9,32,7,606,388,22,558,187
483,Jukka kysyi etta sita taloa#[kO]#[hAn] ihailee Pekka ,1,,4580,1,2,22,14,50,24,0,10,14,24,29,54,14,0,2,20,28,5,76,16,8,34,7,654,284,14,381,203
484,Jukka sanoi etta sita taloa#[pA]#[hAn] ihailee Pekka ,1,,4355,1,2,35,13,38,21,0,10,11,25,29,48,13,0,0,20,22,4,71,14,9,33,7,622,388,22,558,203
485,Jukka kysyi etta sita taloa#[foc]#[kO]#[hAn] ihailee Pekka ,1,,4710,1,2,22,14,50,24,0,10,14,24,29,54,14,0,2,21,28,5,76,16,8,35,7,672,284,14,381,265
486,Jukka sanoi etta sita taloa#[foc]#[pA]#[hAn] ihailee Pekka ,1,,4485,1,2,35,13,38,21,0,10,11,25,29,48,13,0,0,21,22,4,71,14,9,34,7,640,388,22,558,187
487,Jukka sanoi etta se#[hAn] talo Merjaa ihailee ,1,,2885,0,0,39,11,22,10,0,1,9,12,16,46,12,0,2,19,32,4,66,16,8,31,6,412,271,26,429,140
488,Jukka sanoi etta se#[pA] talo Merjaa ihailee ,1,,2875,0,0,39,11,22,10,0,1,9,12,16,46,12,0,2,19,32,4,66,16,8,31,6,410,271,26,429,140
489,Jukka kysyi etta se#[kO] talo Merjaa ihailee ,1,,2910,0,0,23,12,31,8,0,1,7,11,16,43,13,0,2,19,33,5,62,18,7,32,6,415,186,15,267,140
490,Jukka sanoi etta se#[foc] talo Merjaa ihailee ,1,,2885,0,0,39,11,22,10,0,1,9,12,16,46,12,0,2,19,32,4,66,16,8,31,6,412,271,26,429,140
491,Jukka kysyi etta se#[kO]#[hAn] talo Merjaa ihailee ,1,,3030,0,0,23,12,31,8,0,1,7,11,16,43,13,0,2,20,33,5,62,18,7,33,6,432,186,15,267,156
492,Jukka sanoi etta se#[pA]#[hAn] talo Merjaa ihailee ,1,,2995,0,0,39,11,22,10,0,1,9,12,16,46,12,0,2,20,32,4,66,16,8,32,6,427,271,26,429,140
493,Jukka kysyi etta se#[foc]#[kO]#[hAn] talo Merjaa ihailee ,1,,3160,0,0,23,12,31,8,0,1,7,11,16,43,13,0,2,21,33,5,62,18,7,34,6,451,186,15,267,156
494,Jukka sanoi etta se#[foc]#[pA]#[hAn] talo Merjaa ihailee ,1,,3125,0,0,39,11,22,10,0,1,9,12,16,46,12,0,2,21,32,4,66,16,8,33,6,446,271,26,429,140
495,Jukka sanoi etta sita#[hAn] taloa ihailee Pekka ,1,,4235,1,2,35,13,38,21,0,10,11,25,29,48,13,0,0,19,22,4,71,14,9,32,7,605,394,22,572,187
496,Jukka sanoi etta sita#[pA] taloa ihailee Pekka ,1,,4225,1,2,35,13,38,21,0,10,11,25,29,48,13,0,0,19,22,4,71,14,9,32,7,603,394,22,572,187
497,Jukka kysyi etta sita#[kO] taloa ihailee Pekka ,1,,4450,1,2,22,14,50,24,0,10,14,24,29,54,14,0,2,19,28,5,76,16,8,33,7,635,287,14,388,203
498,Jukka sanoi etta sita#[foc] taloa ihailee Pekka ,1,,4235,1,2,35,13,38,21,0,10,11,25,29,48,13,0,0,19,22,4,71,14,9,32,7,605,394,22,572,187
499,Jukka kysyi etta sita#[kO]#[hAn] taloa ihailee Pekka ,1,,4570,1,2,22,14,50,24,0,10,14,24,29,54,14,0,2,20,28,5,76,16,8,34,7,652,287,14,388,250
500,Jukka sanoi etta sita#[pA]#[hAn] taloa ihailee Pekka ,1,,4345,1,2,35,13,38,21,0,10,11,25,29,48,13,0,0,20,22,4,71,14,9,33,7,620,394,22,572,187
501,Jukka kysyi etta sita#[foc]#[kO]#[hAn] taloa ihailee Pekka ,1,,4700,1,2,22,14,50,24,0,10,14,24,29,54,14,0,2,21,28,5,76,16,8,35,7,671,287,14,388,218
502,Jukka sanoi etta sita#[foc]#[pA]#[hAn] taloa ihailee Pekka ,1,,4475,1,2,35,13,38,21,0,10,11,25,29,48,13,0,0,21,22,4,71,14,9,34,7,639,394,22,572,187
503,istuu#C/op Pekka ,1,,950,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,9,1,1,4,3,2,14,3,475,10,3,8,15
504,istuu#[foc] Pekka ,1,,970,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,9,1,1,4,3,2,14,3,485,10,3,8,15
505,istuu#[hAn] Pekka ,1,,970,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,9,1,1,4,3,2,14,3,485,10,3,8,15
506,istuu#[kO] Pekka ,1,,950,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,9,1,1,4,3,2,14,3,475,10,3,8,15
507,istuu#[pA] Pekka ,1,,950,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,9,1,1,4,3,2,14,3,475,10,3,8,31
508,istuu#[kO]#[hAn] Pekka ,1,,1140,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,11,1,1,4,3,2,16,3,570,10,3,8,15
509,istuu#[pA]#[hAn] Pekka ,1,,1140,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,11,1,1,4,3,2,16,3,570,10,3,8,15
510,istuu#[foc]#[kO]#[hAn] Pekka ,1,,1340,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,13,1,1,4,3,2,18,3,670,10,3,8,15
511,istuu#[foc]#[pA]#[hAn] Pekka ,1,,1340,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,13,1,1,4,3,2,18,3,670,10,3,8,15
512,ihailee#C/op Pekka Merjaa ,1,,1585,0,0,8,7,10,2,0,0,2,4,6,6,8,0,0,15,3,2,9,6,2,23,4,528,24,5,17,31
513,ihailee#[foc] Pekka Merjaa ,1,,1605,0,0,8,7,10,2,0,0,2,4,6,6,8,0,0,15,3,2,9,6,2,23,4,535,24,5,17,46
514,ihailee#[hAn] Pekka Merjaa ,1,,1605,0,0,8,7,10,2,0,0,2,4,6,6,8,0,0,15,3,2,9,6,2,23,4,535,24,5,17,31
515,ihailee#[kO] Pekka Merjaa ,1,,1585,0,0,8,7,10,2,0,0,2,4,6,6,8,0,0,15,3,2,9,6,2,23,4,528,24,5,17,31
516,ihailee#[pA] Pekka Merjaa ,1,,1585,0,0,8,7,10,2,0,0,2,4,6,6,8,0,0,15,3,2,9,6,2,23,4,528,24,5,17,46
517,ihailee#[kO]#[hAn] Pekka Merjaa ,1,,1775,0,0,8,7,10,2,0,0,2,4,6,6,8,0,0,17,3,2,9,6,2,25,4,591,24,5,17,31
518,ihailee#[pA]#[hAn] Pekka Merjaa ,1,,1775,0,0,8,7,10,2,0,0,2,4,6,6,8,0,0,17,3,2,9,6,2,25,4,591,24,5,17,31
519,ihailee#[foc]#[kO]#[hAn] Pekka Merjaa ,1,,1975,0,0,8,7,10,2,0,0,2,4,6,6,8,0,0,19,3,2,9,6,2,27,4,658,24,5,17,46
520,ihailee#[foc]#[pA]#[hAn] Pekka Merjaa ,1,,1975,0,0,8,7,10,2,0,0,2,4,6,6,8,0,0,19,3,2,9,6,2,27,4,658,24,5,17,46
521,antoi#C/op Pekka avaimen Merjalle ,1,,2000,0,0,15,10,23,5,0,0,5,8,11,16,11,0,2,14,7,3,24,8,6,25,5,500,95,11,101,78
522,antoi#[foc] Pekka avaimen Merjalle ,1,,2020,0,0,15,10,23,5,0,0,5,8,11,16,11,0,2,14,7,3,24,8,6,25,5,505,95,11,101,78
523,antoi#[hAn] Pekka avaimen Merjalle ,1,,2020,0,0,15,10,23,5,0,0,5,8,11,16,11,0,2,14,7,3,24,8,6,25,5,505,95,11,101,78
524,antoi#[kO] Pekka avaimen Merjalle ,1,,2000,0,0,15,10,23,5,0,0,5,8,11,16,11,0,2,14,7,3,24,8,6,25,5,500,95,11,101,78
525,antoi#[pA] Pekka avaimen Merjalle ,1,,2000,0,0,15,10,23,5,0,0,5,8,11,16,11,0,2,14,7,3,24,8,6,25,5,500,95,11,101,78
526,antoi#[kO]#[hAn] Pekka avaimen Merjalle ,1,,2190,0,0,15,10,23,5,0,0,5,8,11,16,11,0,2,16,7,3,24,8,6,27,5,547,95,11,101,78
527,antoi#[pA]#[hAn] Pekka avaimen Merjalle ,1,,2190,0,0,15,10,23,5,0,0,5,8,11,16,11,0,2,16,7,3,24,8,6,27,5,547,95,11,101,78
528,antoi#[foc]#[kO]#[hAn] Pekka avaimen Merjalle ,1,,2390,0,0,15,10,23,5,0,0,5,8,11,16,11,0,2,18,7,3,24,8,6,29,5,597,95,11,101,78
529,antoi#[foc]#[pA]#[hAn] Pekka avaimen Merjalle ,1,,2390,0,0,15,10,23,5,0,0,5,8,11,16,11,0,2,18,7,3,24,8,6,29,5,597,95,11,101,78
530,ei#C/op Pekka ihaile Merjaa ,1,,1645,0,0,9,8,13,1,0,0,1,9,11,9,9,0,1,15,8,2,14,8,4,24,5,411,34,5,10,46
531,ei#[foc] Pekka ihaile Merjaa ,1,,1665,0,0,9,8,13,1,0,0,1,9,11,9,9,0,1,15,8,2,14,8,4,24,5,416,34,5,10,62
532,ei#[hAn] Pekka ihaile Merjaa ,1,,1665,0,0,9,8,13,1,0,0,1,9,11,9,9,0,1,15,8,2,14,8,4,24,5,416,34,5,10,46
533,ei#[kO] Pekka ihaile Merjaa ,1,,1645,0,0,9,8,13,1,0,0,1,9,11,9,9,0,1,15,8,2,14,8,4,24,5,411,34,5,10,62
534,ei#[pA] Pekka ihaile Merjaa ,1,,1645,0,0,9,8,13,1,0,0,1,9,11,9,9,0,1,15,8,2,14,8,4,24,5,411,34,5,10,46
535,ei#[kO]#[hAn] Pekka ihaile Merjaa ,1,,1835,0,0,9,8,13,1,0,0,1,9,11,9,9,0,1,17,8,2,14,8,4,26,5,458,34,5,10,62
536,ei#[pA]#[hAn] Pekka ihaile Merjaa ,1,,1835,0,0,9,8,13,1,0,0,1,9,11,9,9,0,1,17,8,2,14,8,4,26,5,458,34,5,10,62
537,ei#[foc]#[kO]#[hAn] Pekka ihaile Merjaa ,1,,2035,0,0,9,8,13,1,0,0,1,9,11,9,9,0,1,19,8,2,14,8,4,28,5,508,34,5,10,78
538,ei#[foc]#[pA]#[hAn] Pekka ihaile Merjaa ,1,,2035,0,0,9,8,13,1,0,0,1,9,11,9,9,0,1,19,8,2,14,8,4,28,5,508,34,5,10,46
539,ihaile#C/op Pekka ei Merjaa ,1,,1640,0,0,9,8,11,0,0,0,0,8,10,8,9,0,1,15,8,2,13,8,2,24,5,410,33,5,8,46
540,ihailla#C/op Pekka haluaa Merjaa ,1,,1955,0,0,11,10,17,3,0,0,3,6,10,10,11,2,0,15,8,4,15,10,4,26,5,488,40,7,24,62
541,ihailla#[foc] Pekka haluaa Merjaa ,1,,1975,0,0,11,10,17,3,0,0,3,6,10,10,11,2,0,15,8,4,15,10,4,26,5,493,40,7,24,62
542,ihailla#[hAn] Pekka haluaa Merjaa ,1,,1975,0,0,11,10,17,3,0,0,3,6,10,10,11,2,0,15,8,4,15,10,4,26,5,493,40,7,24,62
543,ihailla#[pA] Pekka haluaa Merjaa ,1,,1955,0,0,11,10,17,3,0,0,3,6,10,10,11,2,0,15,8,4,15,10,4,26,5,488,40,7,24,62
544,ihailla#[kO]#[hAn] Pekka haluaa Merjaa ,1,,2145,0,0,11,10,17,3,0,0,3,6,10,10,11,2,0,17,8,4,15,10,4,28,5,536,40,7,24,62
545,ihailla#[pA]#[hAn] Pekka haluaa Merjaa ,1,,2145,0,0,11,10,17,3,0,0,3,6,10,10,11,2,0,17,8,4,15,10,4,28,5,536,40,7,24,62
546,ihailla#[foc]#[kO]#[hAn] Pekka haluaa Merjaa ,1,,2345,0,0,11,10,17,3,0,0,3,6,10,10,11,2,0,19,8,4,15,10,4,30,5,586,40,7,24,62
547,ihailla#[foc]#[pA]#[hAn] Pekka haluaa Merjaa ,1,,2345,0,0,11,10,17,3,0,0,3,6,10,10,11,2,0,19,8,4,15,10,4,30,5,586,40,7,24,62
548,keta Pekka ihailee ,1,,1070,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,8,4,2,13,4,3,15,3,356,26,6,18,31
549,kuka ihailee Merjaa ,1,,1250,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,13,3,2,7,5,3,20,3,416,14,4,5,31
550,Pekka ihailee keta ,1,,1030,0,0,7,6,7,2,0,0,2,2,4,6,7,0,0,8,3,2,9,5,3,15,3,343,18,4,17,31
551,Pekka ihailee Merjaa#[foc] ,1,,1385,0,0,7,6,7,2,0,0,2,2,4,6,7,0,0,13,3,2,9,5,3,20,4,461,18,4,17,31
552,Pekka#[foc] ihailee Merjaa ,1,,1355,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,13,3,2,7,5,3,20,4,451,14,4,5,31
553,Pekka haluaa ihailla Merjaa#[foc] ,1,,1760,0,0,10,9,17,3,0,0,3,4,8,10,10,3,0,13,7,4,14,9,4,23,5,440,33,6,24,62
554,Merjaa haluaa ihailla Pekka#[foc] ,1,,1805,0,0,11,9,21,4,0,0,4,5,10,12,10,4,0,13,5,5,17,8,4,23,5,451,77,7,89,78
555,Jukka sanoi etta Pekka ihailee keta ,1,,2410,0,0,19,11,27,11,0,0,11,14,17,31,12,0,0,15,21,3,45,15,6,27,5,401,128,10,150,125
556,Jukka sanoi etta Pekka ihailee Merjaa#[foc] ,1,,2765,0,0,19,11,27,11,0,0,11,14,17,31,12,0,0,20,21,3,45,15,6,32,6,460,128,10,150,125
557,Jukka sanoi etta Pekka ihailee sita#[foc] taloa ,1,,3070,0,0,19,11,38,16,0,0,16,21,24,42,12,0,0,19,32,3,61,19,8,31,7,438,182,8,219,156
558,Jukka sanoi etta Pekka ihailee sita taloa#[foc] ,1,,3080,0,0,19,11,38,16,0,0,16,21,24,42,12,0,0,19,32,3,61,19,8,31,7,440,182,8,219,171
559,Jukka sanoi etta Pekka ihailee Merjaa#[hAn] ,1,,
560,Jukka sanoi etta Pekka ihailee Merjaa#[pA] ,1,,
561,Jukka sanoi etta Pekka ihailee Merjaa#[kO] ,1,,
562,Jukka sanoi etta Pekka ihailee Merjaa#[kO]#[hAn] ,1,,
563,Jukka sanoi etta Pekka ihailee Merjaa#[pA]#[hAn] ,1,,
564,Jukka sanoi etta Pekka ihailee Merjaa#[foc]#[kO]#[hAn] ,1,,
565,Jukka sanoi etta Pekka ihailee Merjaa#[foc]#[pA]#[hAn] ,1,,
566,Jukka sanoi etta Pekka ihailee sita taloa#[hAn] ,1,,
567,Jukka sanoi etta Pekka ihailee sita taloa#[pA] ,1,,
568,Jukka sanoi etta Pekka ihailee sita taloa#[kO] ,1,,
569,Jukka sanoi etta Pekka ihailee sita taloa#[kO]#[hAn] ,1,,
570,Jukka sanoi etta Pekka ihailee sita taloa#[pA]#[hAn] ,1,,
571,Jukka sanoi etta Pekka ihailee sita taloa#[foc]#[kO]#[hAn] ,1,,
572,Jukka sanoi etta Pekka ihailee sita taloa#[foc]#[pA]#[hAn] ,1,,
573,Jukka sanoi etta Pekka ihailee sita#[hAn] taloa ,1,,
574,Jukka sanoi etta Pekka ihailee sita#[pA] taloa ,1,,
575,Jukka sanoi etta Pekka ihailee sita#[kO] taloa ,1,,
576,Jukka sanoi etta Pekka ihailee sita#[kO]#[hAn] taloa ,1,,
577,Jukka sanoi etta Pekka ihailee sita#[pA]#[hAn] taloa ,1,,
578,Jukka sanoi etta Pekka ihailee sita#[foc]#[kO]#[hAn] taloa ,1,,
579,Jukka sanoi etta Pekka ihailee sita#[foc]#[pA]#[hAn] taloa ,1,,
580,Pekka ihaile sita taloa ,1,,1260,0,0,7,6,10,3,0,0,3,4,6,10,7,0,0,10,8,2,15,6,5,17,4,315,27,3,28,46
581,Pekka teki sopimuksen ihailla Merjaa ,1,,2205,0,0,12,11,30,4,0,0,4,6,11,15,12,4,0,16,15,5,23,13,6,28,5,441,52,7,37,78
582,sita Pekka ihaili taloa ,1,,
583,taloa Pekka ihaili sita ,1,,
584,Merjaa Pekka teki sopimuksen ihailla ,1,,2345,0,0,27,11,27,9,0,0,9,7,12,24,12,1,2,16,15,5,36,11,7,28,5,469,208,18,284,109
585,Merjan_gen Pekka naki avaimen_acc lahtiessa ,1,,
586,se Merjaa talo ihaili ,1,,
587,talo Merjaa se ihaili ,1,,
